te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,valid
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,48,9,40.64,1406.4,7.35,33.29,752,783,1535,42,50.4,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,96,5,93.13,1931.29,7.35,85.77,377,397,774,24,53.7,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,96,7,115.36,2153.58,7.35,108.0,379,397,776,22,52.4,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.7,96,9,118.3,2183.04,7.35,110.95,383,397,780,18,52.4,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,0,5,-92.07,79.28,7.35,-99.43,7773,8343,16116,8685,51.0,3,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,0,7,-86.1,139.04,7.35,-93.45,8331,8739,17070,7731,51.0,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,0,9,-79.19,208.1,7.35,-86.54,8561,8882,17443,7358,51.0,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,24,5,-1.19,988.08,7.35,-8.55,1320,1394,2714,237,52.3,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,24,7,-27.32,726.82,7.35,-34.67,1315,1394,2709,242,50.1,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,24,9,2.91,1029.14,7.35,-4.44,1336,1394,2730,221,51.9,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,48,5,14.75,1147.49,7.35,7.39,697,739,1436,97,51.4,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,48,7,21.43,1214.28,7.35,14.07,704,739,1443,90,50.9,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,48,9,31.21,1312.13,7.35,23.86,710,739,1449,84,50.6,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,96,5,64.99,1649.91,7.35,57.64,363,387,750,37,50.6,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,96,7,101.37,2013.7,7.35,94.02,369,387,756,31,51.4,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.75,96,9,115.01,2150.09,7.35,107.65,373,387,760,27,52.2,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,0,5,-51.91,480.88,7.35,-59.27,2562,2686,5248,19552,49.4,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,0,7,-36.47,635.27,7.35,-43.83,2582,2686,5268,19532,49.4,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,0,9,-32.32,676.79,7.35,-39.68,2596,2686,5282,19518,48.9,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,24,5,-11.21,887.92,7.35,-18.56,973,1030,2003,587,50.6,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,24,7,5.22,1052.22,7.35,-2.13,980,1030,2010,580,50.6,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,24,9,-7.24,927.55,7.35,-14.6,986,1030,2016,574,49.7,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,48,5,-11.42,885.82,7.35,-18.77,596,636,1232,198,50.6,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,48,7,20.71,1207.1,7.35,13.36,602,636,1238,192,49.5,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,48,9,31.29,1312.94,7.35,23.94,610,636,1246,184,48.4,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,96,5,43.92,1439.24,7.35,36.57,330,355,685,70,51.5,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.6,0.8,96,7,72.73,1727.33,7.35,65.38,338,355,693,62,53.2,6,True
