te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,orig_pnl,best_pnl,best_thr_bot,best_thr_top,best_cooldown,alpha_bh,n_trades,win_rate,elapsed_s
knn,15,analogical,2,adaptive_percentile,filter_and,-0.76,160.66,0.6,0.7,48,74.59,338,48.8,98.7
knn,20,analogical,2,adaptive_percentile,score_component,-24.39,159.46,0.45,0.65,96,73.39,510,38.8,144.2
knn,30,analogical,2,adaptive_percentile,filter_and,-4.85,153.29,0.45,0.7,24,67.22,484,39.4,125.5
knn,30,jacobian,3,adaptive_percentile,score_component,-12.82,140.28,0.65,0.65,96,54.21,232,48.3,159.7
knn,30,jacobian,2,adaptive_percentile,score_component,-18.22,138.01,0.7,0.65,96,51.94,229,44.4,175.1
knn,15,jacobian,3,adaptive_percentile,score_component,-2.28,135.58,0.7,0.6,96,49.51,403,42.4,141.4
knn,15,jacobian,2,adaptive_percentile,score_component,-2.2,133.39,0.7,0.7,96,47.32,389,40.4,160.5
binning,30,analogical,2,fixed,filter_and,0.03,63.27,0.45,0.6,0,-22.8,4,0.0,79.9
kde,30,analogical,2,fixed,filter_and,0.03,63.27,0.45,0.6,0,-22.8,4,0.0,167.1
binning,15,analogical,2,fixed,score_component,22.32,15.82,0.45,0.45,0,-70.25,6,100.0,54.8
kde,15,analogical,2,fixed,score_component,22.32,15.82,0.45,0.45,0,-70.25,6,100.0,181.2
binning,15,analogical,3,fixed,score_component,1.67,15.14,0.45,0.45,24,-70.93,1,0.0,57.1
kde,15,analogical,3,fixed,score_component,1.67,15.14,0.45,0.45,24,-70.93,1,0.0,148.9
binning,15,analogical,3,fixed,filter_and,0.0,0.0,0.45,0.45,0,-86.07,0,0.0,55.3
kde,15,analogical,3,fixed,filter_and,0.0,0.0,0.45,0.45,0,-86.07,0,0.0,145.6
