te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,elapsed_s,valid
binning,10,analogical,2,fixed,score_component,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,59.42,False
binning,10,analogical,2,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,56.45,False
binning,10,analogical,3,fixed,score_component,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,55.83,False
binning,10,analogical,3,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,55.63,False
binning,10,jacobian,2,fixed,score_component,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,56.36,False
binning,10,jacobian,2,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,56.12,False
binning,10,jacobian,3,fixed,score_component,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,56.63,False
binning,10,jacobian,3,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,55.65,False
binning,15,analogical,2,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,60.41,False
binning,15,analogical,3,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,1,0.0,0,61.54,False
kde,10,analogical,2,fixed,score_component,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,164.09,False
kde,10,analogical,2,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,162.97,False
kde,10,analogical,3,fixed,score_component,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,161.92,False
kde,10,analogical,3,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,161.29,False
kde,10,jacobian,2,fixed,score_component,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,163.48,False
kde,10,jacobian,2,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,163.64,False
kde,10,jacobian,3,fixed,score_component,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,163.35,False
kde,10,jacobian,3,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,161.64,False
kde,15,analogical,2,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,0,0.0,0,167.65,False
kde,15,analogical,3,fixed,filter_and,0.55,0.55,0,5,0.0,1000.0,7.35,-7.35,0,0,0,1,0.0,0,167.89,False
binning,15,analogical,2,fixed,score_component,0.55,0.55,0,5,-4.07,959.3,7.35,-11.42,5,1,6,5,100.0,5,62.12,False
kde,15,analogical,2,fixed,score_component,0.55,0.55,0,5,-4.07,959.3,7.35,-11.42,5,1,6,5,100.0,5,167.56,False
