bot_combo,top_combo,umbral_bot,umbral_top,cooldown,pnl_pct,portfolio,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_vs_bh,alpha_vs_orig
close_position+bb_position+recovery_pct,drawdown_pct,0.8,0.65,96,12.35,1123.5,89,89,178,60,67.4,88.13,82.19
close_position+bb_position,close_position+drawdown_pct+bb_position,0.75,0.7,96,12.33,1123.33,89,89,178,48,64.0,88.11,82.17
bb_position+recovery_pct,close_position+drawdown_pct,0.75,0.6,96,12.32,1123.21,89,89,178,82,67.4,88.1,82.16
bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.75,0.65,96,12.18,1121.84,89,89,178,46,62.9,87.96,82.02
bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.65,96,12.12,1121.16,89,89,178,64,69.7,87.9,81.96
close_position+recovery_pct,close_position,0.85,0.75,96,12.11,1121.13,83,83,166,71,61.4,87.89,81.95
close_position+bb_position+recovery_pct,close_position,0.7,0.65,96,12.04,1120.44,89,88,177,46,52.3,87.82,81.88
close_position+bb_position+recovery_pct,close_position+bb_position,0.7,0.65,96,12.04,1120.45,89,89,178,90,61.8,87.82,81.88
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.65,96,12.02,1120.22,89,89,178,46,62.9,87.8,81.86
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.7,0.7,96,11.96,1119.55,89,89,178,28,53.9,87.74,81.8
close_position+bb_position+recovery_pct,drawdown_pct,0.8,0.7,96,11.87,1118.69,89,89,178,46,62.9,87.65,81.71
bb_position+recovery_pct,close_position+bb_position,0.7,0.65,96,11.83,1118.34,89,89,178,86,61.8,87.61,81.67
close_position+bb_position+recovery_pct,close_position,0.8,0.6,96,11.82,1118.21,89,89,178,68,66.3,87.6,81.66
bb_position+recovery_pct,close_position,0.75,0.6,96,11.79,1117.92,89,89,178,68,66.3,87.57,81.63
close_position+bb_position,close_position+drawdown_pct,0.75,0.65,96,11.74,1117.43,89,89,178,76,64.0,87.52,81.58
bb_position+recovery_pct,close_position,0.7,0.65,96,11.7,1117.04,89,88,177,32,54.5,87.48,81.54
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.6,96,11.69,1116.94,89,89,178,95,68.5,87.47,81.53
close_position+bb_position,bb_position,0.75,0.65,96,11.67,1116.72,89,89,178,102,66.3,87.45,81.51
bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.6,96,11.65,1116.51,89,89,178,100,70.8,87.43,81.49
bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.7,96,11.47,1114.74,89,89,178,47,60.7,87.25,81.31
close_position+recovery_pct,bb_position,0.7,0.65,96,11.36,1113.56,89,89,178,97,62.9,87.14,81.2
close_position+bb_position+recovery_pct,drawdown_pct,0.75,0.65,96,11.31,1113.07,89,89,178,58,68.5,87.09,81.15
bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.65,0.7,96,11.29,1112.88,89,89,178,47,64.0,87.07,81.13
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.8,0.6,96,11.27,1112.69,89,89,178,83,66.3,87.05,81.11
close_position+recovery_pct,close_position+bb_position,0.65,0.65,96,11.25,1112.54,89,89,178,85,58.4,87.03,81.09
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.7,96,11.25,1112.49,89,89,178,45,59.6,87.03,81.09
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.75,0.65,96,11.2,1111.96,89,89,178,52,62.9,86.98,81.04
recovery_pct,drawdown_pct,0.65,0.7,96,11.18,1111.84,89,89,178,48,57.3,86.96,81.02
bb_position,close_position+drawdown_pct+bb_position,0.75,0.7,96,11.04,1110.38,89,89,178,47,66.3,86.82,80.88
close_position+recovery_pct,close_position+drawdown_pct,0.85,0.8,96,10.98,1109.83,83,83,166,49,61.4,86.76,80.82
bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.7,96,10.96,1109.62,89,89,178,38,62.9,86.74,80.8
close_position+bb_position+recovery_pct,close_position,0.85,0.65,96,10.92,1109.24,85,85,170,119,67.1,86.7,80.76
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.8,0.65,96,10.92,1109.18,89,89,178,64,67.4,86.7,80.76
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.8,0.7,96,10.92,1109.24,89,89,178,38,62.9,86.7,80.76
close_position+bb_position+recovery_pct,bb_position,0.75,0.65,96,10.88,1108.85,89,89,178,81,67.4,86.66,80.72
close_position+recovery_pct,close_position+drawdown_pct,0.65,0.7,96,10.85,1108.51,89,89,178,25,50.6,86.63,80.69
close_position+recovery_pct,close_position+drawdown_pct,0.85,0.75,96,10.82,1108.19,83,83,166,81,63.9,86.6,80.66
close_position+bb_position,close_position,0.75,0.6,96,10.81,1108.15,89,89,178,99,65.2,86.59,80.65
bb_position+recovery_pct,close_position+drawdown_pct,0.65,0.7,96,10.76,1107.58,89,89,178,30,52.8,86.54,80.6
recovery_pct,drawdown_pct,0.65,0.65,96,10.74,1107.4,89,89,178,70,61.8,86.52,80.58
bb_position+recovery_pct,close_position+bb_position,0.75,0.6,96,10.72,1107.24,89,89,178,95,68.5,86.5,80.56
close_position+recovery_pct,close_position,0.65,0.65,96,10.71,1107.1,89,88,177,42,48.9,86.49,80.55
close_position,close_position,0.7,0.65,96,10.69,1106.85,89,88,177,46,53.4,86.47,80.53
close_position,close_position+bb_position,0.7,0.65,96,10.69,1106.92,89,89,178,90,62.9,86.47,80.53
close_position,close_position+drawdown_pct,0.7,0.7,96,10.62,1106.23,89,89,178,28,55.1,86.4,80.46
bb_position+recovery_pct,drawdown_pct,0.7,0.6,96,10.6,1106.02,89,89,178,97,65.2,86.38,80.44
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.8,0.6,96,10.56,1105.56,89,89,178,100,68.5,86.34,80.4
close_position+bb_position,close_position+drawdown_pct+bb_position,0.75,0.65,96,10.55,1105.47,89,89,178,64,62.9,86.33,80.39
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.7,96,10.54,1105.38,89,89,178,46,60.7,86.32,80.38
close_position+bb_position,close_position+drawdown_pct+bb_position,0.75,0.6,96,10.52,1105.17,89,89,178,123,68.5,86.3,80.36
close_position+recovery_pct,close_position+drawdown_pct,0.7,0.65,96,10.52,1105.16,89,89,178,80,60.7,86.3,80.36
close_position+bb_position,drawdown_pct+bb_position,0.75,0.65,96,10.51,1105.14,89,89,178,90,68.5,86.29,80.35
close_position+bb_position,close_position+drawdown_pct+bb_position,0.7,0.7,96,10.38,1103.84,89,89,178,47,62.9,86.16,80.22
close_position+recovery_pct,drawdown_pct+bb_position,0.7,0.65,96,10.38,1103.75,89,89,178,78,65.2,86.16,80.22
